prob_q5_q1,i_urban,share_black,share_middleclass,share_divorced,share_married
0.0741163,1,0.0104909,0.59315,0.1163292,0.6251613
0.0825769,1,0.0346978,0.59228,0.1127532,0.5657589
0.0905316,1,0.0364461,0.58568,0.096654,0.546917
0.0869565,1,0.0144986,0.57433,0.1020352,0.5234585
0.0794224,1,0.0408462,0.57405,0.1101568,0.5853062
0.1177754,0,0.0019949,0.64257,0.1057724,0.6078427
0.1085714,0,0.0154274,0.58371,0.1067491,0.5599176
0.0815114,1,0.1816823,0.53163,0.1002896,0.5331063
0.0648882,1,0.043422,0.63306,0.1011784,0.5841959
0.0564063,1,0.0725557,0.59933,0.1057451,0.5681902
0.0508593,1,0.1749033,0.53765,0.1073707,0.5207561
0.0706587,1,0.0075283,0.57768,0.1079572,0.5985206
0.0686525,1,0.029197,0.61511,0.1072273,0.5778443
0.0730731,1,0.0390431,0.63161,0.0981525,0.5705113
0.1251212,1,0.0226593,0.57842,0.0986702,0.5703378
0.0650759,0,0.0317172,0.57271,0.1191668,0.5634755
0.0746554,0,0.0181913,0.56569,0.0952203,0.5231165
0.0490941,1,0.1239633,0.54487,0.1101801,0.5266
0.0642629,1,0.0510108,0.63998,0.1127461,0.5718742
0.1130934,1,0.0228161,0.61335,0.0710767,0.5275401
0.1022071,1,0.0173747,0.62153,0.0775805,0.5639431
0.0951215,1,0.0752677,0.53349,0.0821813,0.5454549
0.0669517,1,0.086445,0.60278,0.1012593,0.5541838
0.075086,1,0.0337765,0.59601,0.0899696,0.546425
0.0642031,1,0.0910396,0.54431,0.0964442,0.5445369
0.1051805,0,0.0074331,0.55953,0.1117186,0.5795196
0.1049585,1,0.0226551,0.55982,0.0917478,0.5361406
0.1252822,0,0.004092,0.54987,0.1013577,0.5773802
0.1067055,1,0.0613311,0.53945,0.1035298,0.5802506
0.127786,0,0.003027,0.54475,0.10057,0.5947621
0.0970406,1,0.0440801,0.51827,0.1127981,0.5731627
0.1465677,0,0.001737,0.55233,0.0999061,0.6028056
0.1377561,0,0.0078296,0.50136,0.1030685,0.6079913
0.0683839,1,0.0211336,0.51926,0.1065666,0.5770856
0.0939364,1,0.0240551,0.59054,0.0801151,0.5482139
0.0680713,1,0.071288,0.59208,0.0979975,0.5827674
0.0868678,1,0.0471906,0.6073,0.0966583,0.5982128
0.0972335,1,0.032627,0.58931,0.0848623,0.6004664
0.0966744,1,0.0432689,0.57459,0.0981781,0.5842979
0.0616438,1,0.1641565,0.50012,0.0888299,0.543902
0.0767296,1,0.0556379,0.54086,0.0871143,0.5221298
0.0931538,0,0.0120771,0.56886,0.0902137,0.5527911
0.0882941,1,0.0225524,0.55685,0.0942176,0.5377528
0.0667501,1,0.1042086,0.52128,0.0883493,0.5244902
0.0934867,1,0.0296748,0.56843,0.0917072,0.5158406
0.079879,0,0.0104549,0.61965,0.0909189,0.5520873
0.1616438,0,0.0016551,0.69583,0.0846182,0.5762717
0.1012048,1,0.035465000000000003,0.59046,0.0814672,0.5394256
0.0853897,0,0.0406113,0.58124,0.0848383,0.5218813
0.0824284,0,0.0128722,0.56512,0.0923376,0.5395844
0.0832482,1,0.0548041,0.51112,0.086722,0.5331771
0.1109066,1,0.0234786,0.63172,0.0785234,0.591569
0.107529,1,0.0216272,0.57833,0.0800567,0.5484756
0.1019009,1,0.0251633,0.60439,0.093459,0.5747404
0.0828036,1,0.0266742,0.52952,0.0836654,0.5668477
0.0963186,1,0.0257068,0.58158,0.0792937,0.5834165
0.079378,1,0.0586776,0.57264,0.0880598,0.5826253
0.0949514,1,0.0750854,0.4816,0.0794421,0.5567463
0.104999,1,0.1962365,0.43985,0.0729256,0.480598
0.1222833,1,0.0552078,0.4188,0.0754884,0.5872104
0.1024117,1,0.1384369,0.40053,0.0715346,0.5424214
0.0740248,1,0.1934895,0.46098,0.0797608,0.5123836
0.0658846,1,0.1756503,0.46918,0.0965584,0.5313057
0.0626999,1,0.1961827,0.5094,0.0965823,0.5567299
0.0623094,1,0.1625849,0.51707,0.0908833,0.5767519
0.044542,0,0.3432235,0.39934,0.0851302,0.5357707
0.080744,1,0.0033915,0.58572,0.1175241,0.5612368
